iter	Passed	Remaining
0	146	146801
1	147	73850
2	149	49570
3	150	37410
4	151	30144
5	152	25263
6	153	21792
7	154	19189
8	155	17160
9	156	15526
10	157	14197
11	158	13078
12	160	12150
13	161	11351
14	162	10657
15	163	10046
16	164	9509
17	165	9027
18	166	8598
19	167	8209
20	168	7861
21	169	7545
22	170	7258
23	171	6992
24	173	6748
25	174	6524
26	175	6311
27	176	6113
28	177	5933
29	178	5764
30	179	5604
31	180	5457
32	181	5315
33	182	5184
34	183	5062
35	184	4947
36	185	4837
37	186	4731
38	188	4634
39	189	4540
40	190	4450
41	191	4366
42	192	4285
43	193	4209
44	194	4135
45	195	4064
46	197	3997
47	198	3933
48	199	3869
49	200	3809
50	201	3750
51	202	3692
52	203	3639
53	204	3587
54	205	3535
55	206	3488
56	208	3442
57	209	3396
58	210	3353
59	211	3310
60	212	3270
61	213	3230
62	214	3192
63	215	3154
64	216	3118
65	217	3083
66	219	3049
67	219	3009
68	220	2976
69	221	2944
70	222	2915
71	224	2888
72	225	2862
73	226	2836
74	227	2808
75	228	2783
76	230	2760
77	231	2737
78	232	2713
79	233	2688
80	234	2664
81	236	2642
82	237	2620
83	238	2599
84	239	2575
85	240	2555
86	241	2531
87	242	2511
88	243	2492
89	244	2474
90	246	2457
91	247	2447
92	249	2430
93	250	2414
94	252	2403
95	253	2386
96	254	2369
97	255	2355
98	257	2339
99	258	2323
100	259	2310
101	260	2290
102	261	2275
103	262	2262
104	263	2250
105	265	2242
106	267	2230
107	268	2218
108	269	2205
109	270	2192
110	272	2179
111	273	2167
112	274	2155
113	275	2143
114	276	2130
115	277	2116
116	278	2103
117	280	2098
118	281	2086
119	283	2078
120	284	2067
121	286	2058
122	286	2044
123	289	2042
124	290	2031
125	291	2022
126	292	2012
127	293	1999
128	295	1994
129	297	1992
130	300	1992
131	301	1983
132	302	1975
133	304	1966
134	306	1962
135	307	1954
136	308	1945
137	310	1938
138	312	1936
139	314	1931
140	315	1923
141	316	1914
142	318	1905
143	319	1898
144	320	1890
145	321	1882
146	322	1874
147	324	1870
148	326	1866
149	328	1860
150	329	1854
151	331	1847
152	332	1840
153	333	1832
154	334	1825
155	336	1818
156	337	1811
157	339	1807
158	341	1804
159	342	1800
160	344	1794
161	345	1788
162	346	1780
163	348	1774
164	349	1768
165	350	1762
166	351	1755
167	353	1751
168	355	1749
169	357	1746
170	359	1740
171	360	1733
172	361	1727
173	362	1721
174	364	1716
175	365	1710
176	366	1704
177	368	1699
178	370	1699
179	372	1696
180	373	1688
181	374	1683
182	375	1677
183	377	1672
184	378	1666
185	379	1660
186	380	1656
187	384	1660
188	386	1656
189	387	1653
190	389	1649
191	390	1644
192	391	1638
193	393	1634
194	394	1629
195	396	1624
196	397	1621
197	399	1619
198	402	1618
199	403	1613
200	404	1608
201	405	1603
202	407	1598
203	408	1594
204	409	1589
205	411	1584
206	413	1582
207	414	1579
208	416	1576
209	418	1572
210	419	1568
211	420	1563
212	421	1558
213	423	1554
214	424	1549
215	425	1545
216	428	1546
217	430	1543
218	431	1539
219	433	1535
220	434	1531
221	435	1526
222	436	1521
223	438	1517
224	439	1514
225	441	1510
226	443	1509
227	444	1505
228	447	1505
229	448	1501
230	449	1497
231	451	1492
232	452	1489
233	453	1485
234	455	1481
235	456	1479
236	460	1481
237	462	1481
238	463	1477
239	465	1473
240	466	1468
241	467	1464
242	468	1460
243	470	1456
244	473	1457
245	474	1455
246	476	1453
247	478	1450
248	479	1446
249	480	1442
250	482	1438
251	483	1435
252	484	1431
253	486	1429
254	488	1428
255	490	1424
256	491	1421
257	492	1417
258	494	1413
259	495	1409
260	496	1406
261	497	1402
262	499	1400
263	502	1400
264	504	1398
265	505	1394
266	506	1391
267	508	1388
