iter	Passed	Remaining
0	163	163114
1	164	81993
2	165	55025
3	166	41484
4	167	33359
5	168	27927
6	170	24138
7	171	21242
8	172	18970
9	174	17237
10	175	15810
11	177	14573
12	177	13511
13	178	12605
14	179	11817
15	181	11135
16	182	10531
17	183	10014
18	185	9553
19	186	9141
20	188	8767
21	189	8411
22	190	8087
23	191	7784
24	192	7502
25	193	7241
26	194	7000
27	195	6775
28	196	6570
29	197	6374
30	198	6203
31	200	6058
32	202	5923
33	203	5774
34	204	5631
35	205	5494
36	206	5364
37	207	5244
38	208	5131
39	209	5020
40	209	4911
41	210	4809
42	212	4722
43	213	4637
44	214	4551
45	216	4487
46	218	4426
47	219	4352
48	220	4280
49	221	4208
50	222	4141
51	223	4076
52	224	4012
53	226	3970
54	228	3917
55	229	3873
56	230	3818
57	232	3769
58	233	3717
59	233	3665
60	234	3615
61	235	3566
62	236	3521
63	237	3477
64	238	3435
65	239	3395
66	241	3368
67	243	3336
68	245	3309
69	246	3274
70	247	3237
71	248	3201
72	249	3166
73	250	3131
74	251	3100
75	252	3069
76	253	3037
77	254	3005
78	255	2978
79	256	2949
80	257	2921
81	259	2900
82	259	2870
83	261	2851
84	262	2828
85	263	2804
86	264	2780
87	265	2755
88	266	2731
89	267	2709
90	268	2686
91	270	2668
92	271	2649
93	273	2635
94	274	2616
95	276	2602
96	277	2583
97	278	2565
98	279	2545
99	280	2525
100	281	2505
101	282	2488
102	283	2470
103	285	2457
104	286	2442
105	288	2431
106	289	2413
107	290	2398
108	291	2383
109	292	2366
110	293	2351
111	294	2337
112	295	2322
113	296	2306
114	298	2293
115	299	2281
116	300	2267
117	302	2260
118	303	2247
119	304	2235
120	305	2221
121	306	2206
122	307	2193
123	308	2179
124	309	2166
125	310	2153
126	311	2140
127	312	2127
128	313	2116
129	314	2106
130	315	2095
131	317	2087
132	318	2077
133	319	2066
134	320	2055
135	321	2043
136	322	2032
137	323	2021
138	324	2011
139	325	2002
140	327	1993
141	328	1983
142	329	1974
143	331	1969
144	332	1960
145	333	1951
146	334	1941
147	335	1931
148	336	1922
149	337	1912
150	338	1903
151	339	1895
152	340	1885
153	342	1879
154	343	1871
155	345	1869
156	346	1860
157	347	1852
158	348	1845
159	349	1837
160	350	1826
161	351	1818
162	352	1810
163	353	1802
164	354	1794
165	355	1787
166	357	1781
167	358	1775
168	360	1771
169	361	1764
170	362	1758
171	363	1750
172	364	1743
173	365	1735
174	366	1728
175	367	1722
176	368	1714
177	369	1708
178	371	1703
179	372	1697
180	374	1695
181	375	1688
182	376	1681
183	377	1674
184	378	1668
185	379	1661
186	380	1654
187	381	1647
188	382	1640
189	383	1634
190	384	1628
191	385	1624
192	387	1618
193	388	1613
194	389	1608
195	390	1603
196	391	1597
197	392	1591
198	393	1585
199	394	1578
200	395	1572
201	396	1566
202	397	1561
203	398	1554
204	399	1549
205	400	1544
206	401	1538
207	403	1534
208	404	1530
209	406	1528
210	407	1523
211	408	1518
212	409	1512
213	410	1506
214	411	1501
215	412	1495
216	413	1491
217	415	1489
218	417	1488
219	419	1487
220	420	1483
221	421	1478
222	422	1473
223	423	1468
224	424	1463
225	425	1458
226	426	1453
227	427	1448
228	429	1446
229	430	1442
230	432	1440
231	434	1438
232	435	1434
233	436	1429
234	437	1424
235	438	1420
236	439	1415
237	440	1410
238	441	1405
239	442	1401
240	444	1398
241	445	1394
242	447	1392
243	448	1388
244	449	1384
245	450	1380
246	451	1375
247	452	1371
248	453	1366
249	454	1362
250	455	1358
251	456	1354
252	457	1350
253	458	1346
254	459	1342
255	461	1340
256	462	1337
257	463	1334
258	464	1330
259	465	1325
260	466	1322
261	468	1318
262	469	1314
263	470	1310
264	471	1306
265	472	1303
266	473	1300
267	475	1297
268	476	1294
269	477	1290
270	478	1286
271	479	1283
272	480	1279
273	481	1276
274	482	1272
275	483	1269
276	485	1267
277	487	1264
278	488	1262
279	490	1260
280	492	1259
281	493	1255
282	494	1252
283	495	1248
284	496	1244
285	497	1241
286	498	1238
287	499	1234
288	500	1232
289	502	1229
290	503	1227
291	507	1229
292	508	1226
293	509	1223
294	510	1220
295	511	1216
296	512	1212
297	513	1209
298	514	1205
299	515	1202
300	516	1199
301	517	1196
302	520	1197
303	521	1194
304	522	1191
305	523	1187
306	524	1184
307	525	1180
308	526	1177
309	527	1174
310	528	1170
311	529	1167
312	530	1164
313	531	1161
314	532	1158
315	535	1158
316	536	1155
317	537	1152
318	538	1149
319	539	1146
320	540	1143
321	541	1140
322	542	1136
323	543	1133
324	544	1130
325	545	1128
326	546	1125
327	549	1124
328	551	1124
329	552	1121
330	553	1118
331	554	1114
332	554	1111
333	555	1108
334	556	1105
335	557	1102
336	558	1099
337	559	1096
338	560	1093
339	564	1095
340	565	1092
341	566	1089
342	567	1086
343	568	1083
344	569	1080
345	570	1078
346	571	1075
347	572	1072
348	573	1069
349	574	1066
350	575	1064
351	577	1063
352	579	1062
353	580	1059
354	581	1056
355	582	1053
356	583	1050
357	584	1048
358	585	1045
359	586	1042
360	587	1039
361	588	1037
362	590	1036
363	593	1037
364	594	1034
365	595	1031
366	596	1029
367	597	1026
368	598	1023
369	599	1021
370	600	1018
371	601	1015
372	602	1012
373	603	1010
374	605	1008
375	608	1009
376	609	1006
377	610	1004
378	611	1001
379	612	998
380	613	996
381	614	993
382	615	991
383	616	988
384	617	986
385	618	984
386	620	982
387	622	981
388	623	979
389	624	977
390	625	974
391	626	972
392	627	969
393	628	967
394	629	964
395	630	961
396	631	959
397	632	957
398	634	955
399	635	952
400	637	952
401	639	950
402	640	948
403	641	945
404	641	943
405	642	940
406	643	937
407	644	935
408	645	933
409	646	930
410	647	928
411	648	926
412	649	923
413	652	922
414	653	921
415	655	919
416	656	917
417	656	914
418	657	912
419	658	909
420	659	907
421	660	905
422	662	903
423	663	901
424	664	899
425	666	897
426	667	895
427	668	892
428	669	890
429	670	888
430	671	886
431	672	884
432	673	881
433	674	879
434	675	877
435	676	875
